"0","Units","mfactor"
"3","Thousands","mfactor"
"6","Millions","mfactor"
"AFR","AFRICA","region"
"AH","Area harvested","variable"
"ARG","Argentina","region"
"ASP","ASIA","region"
"AUS","Australia","region"
"BD","Biodiesel","commodity"
"BF","Biofuel use","variable"
"BRA","Brazil","region"
"BRICS","BRICS","region"
"BT","Butter","commodity"
"BV","Beef and veal","commodity"
"CA","Casein","commodity"
"CAN","Canada","region"
"CH","Cheese","commodity"
"CHE","Switzerland","region"
"CHL","Chile","region"
"CHN","China","region"
"CI","Cow inventory","variable"
"COL","Colombia","region"
"CR","Crush","variable"
"CT","COTTON","commodity"
"DDG","Distiller's dry grains","commodity"
"DVD","DEVELOPED COUNTRIES","region"
"DVG","DEVELOPING COUNTRIES","region"
"EGY","Egypt","region"
"ET","Ethanol","commodity"
"ETH","Ethiopia","region"
"EUN","European Union","region"
"EUR","EUROPE","region"
"EX","Exports","variable"
"FDP","Fresh dairy products","commodity"
"FE","Feed","variable"
"FH","Fish","commodity"
"FHA","Fish from aquaculture","commodity"
"FHC","Fish from capture","commodity"
"FL","Fish oil","commodity"
"FM","Fish meal","commodity"
"FO","Food","variable"
"FT","Fertilizer","commodity"
"GBR","United Kingdom","region"
"HA","Hectares","unit"
"HFCS","High fructose corn syrup","commodity"
"IDN","Indonesia","region"
"IM","Imports","variable"
"IND","India","region"
"IRN","Iran","region"
"ISR","Israel","region"
"JPN","Japan","region"
"KAZ","Kazakhstan","region"
"KG_HAB","Kilograms per capita","unit"
"KOR","Korea","region"
"LAC","LATIN AMERICA","region"
"LT","Litres","unit"
"MA","Maize","commodity"
"MEX","Mexico","region"
"MK","Milk","commodity"
"MOL","Molasses","commodity"
"MYS","Malaysia","region"
"NATCUR_HL","National currency per hectolitre","unit"
"NATCUR_TONNE","National currency per tonne","unit"
"NBR","Number","unit"
"NGA","Nigeria","region"
"NOA","NORTH AMERICA","region"
"NONE","No units","unit"
"NOR","Norway","region"
"NT","Trade balance","variable"
"NZL","New Zealand","region"
"OCD","OCEANIA","region"
"OCG","Other coarse grains","commodity"
"OECD","OECD countries","region"
"OIL","Oil","commodity"
"OOS","Other oilseeds","commodity"
"OU","Other use","variable"
"PAK","Pakistan","region"
"PC","Human consumption per capita","variable"
"PER","Peru","region"
"PHL","Philippines","region"
"PK","Pigmeat","commodity"
"PM","Protein meals","commodity"
"PP","Producer price","variable"
"PRY","Paraguay","region"
"PS","PULSES","commodity"
"PT","Poultry meat","commodity"
"QC","Consumption","variable"
"QP","Production","variable"
"QP__MA","Ethanol production from maize","variable"
"QP__SCA","Ethanol production from sugar cane","variable"
"QP__VL","Biodiesel production from vegetable oil","variable"
"RI","Rice","commodity"
"RT","ROOTS AND TUBERS","commodity"
"RUS","Russian Federation","region"
"SAU","Saudi Arabia","region"
"SB","Soybean","commodity"
"SBE","Sugar beet","commodity"
"SCA","Sugar cane","commodity"
"SH","Sheepmeat","commodity"
"SMP","Skim milk powder","commodity"
"ST","Ending stocks","variable"
"SU","Sugar","commodity"
"SUR","Raw sugar","commodity"
"SUW","White sugar","commodity"
"THA","Thailand","region"
"TONNE","Tonnes","unit"
"TONNE_ANIMAL","Tonnes per animal","unit"
"TONNE_HA","Tonnes per hectare","unit"
"TUR","Turkey","region"
"UKR","Ukraine","region"
"USA","United States","region"
"USD_BAR","US dollars per barrel","unit"
"USD_HL","US Dollar per hectolitre","unit"
"USD_TONNE","US Dollar per tonne","unit"
"VL","Vegetable oils","commodity"
"VNM","Viet Nam","region"
"WLD","WORLD","region"
"WMP","Whole milk powder","commodity"
"WT","Wheat","commodity"
"WYP","Whey powder","commodity"
"XP","World Price","variable"
"YLD","Yield","variable"
"ZAF","South Africa","region"
